Codi_centre;Denominació_completa;Adreça;Telèfon;E-mail_centre;Nom_municipi;Nom_comarca;Codi_SSTT
8001868;Escola Els Llorers;av. de Roma, 98-100;934429203;a8001868@xtec.cat;Fonollosa;;DE05
8001911;Escola Diputació;c. Diputació, 112-116;934544865;a8001911@xtec.cat;Font-rubí;;170010
8001923;Escola Mallorca;c. Londres, 64;934546868;a8001923@xtec.cat;Les Franqueses del Vallès;;170025
8001947;Escola Francesc Macià;pl. Espanya, 2-3;934442682;a8001947@xtec.cat;La Garriga;;170031
8002009;Escola Lluís Vives;c. Canalejas, 107;934235085;a8002009@xtec.cat;Gavà;;170046
8002010;Escola Cal Maiol;c. Sagunt, 92-94;934222440;a8002010@xtec.cat;Gelida;;170059
8002022;Escola Pràctiques;c. Guitard, 8;933318893;a8002022@xtec.cat;Gironella;;170078
8002058;Escola Jaume I;c. Melcior de Palau, 134-136;934907023;a8002058@xtec.cat;La Granada;;170084
8002061;Escola Gayarre;c. Gayarre, 54-56;934904103;a8002061@xtec.cat;Granollers;;170097
8002071;Escola Rius i Taulet;pl. de Ferran Lesseps, 19;934211350;a8002071@xtec.cat;Gualba;;170101
8002113;Escola Baldiri Reixac;c. Olot, s/n (Parc Güell);932176196;a8002113@xtec.cat;Sant Salvador de Guardiola;;170118
8002174;Escola Mare de Déu de Montserrat;c. Natzaret, 83-85;932130484;a8002174@xtec.cat;Guardiola de Berguedà;;170123
8002186;Escola La Farigola de Vallcarca;c. Sant Camil, 31;934181300;a8002186@xtec.cat;Sant Julià de Cerdanyola;;170139
8002198;Escola Montseny;c. Torrent del Remei, 2-10;932138802;a8002198@xtec.cat;Gurb;;170144
8002204;Escola Josep Maria de Sagarra;pg. Vall d'Hebron, 64-70;932139845;a8002204@xtec.cat;L'Hospitalet de Llobregat;;170157
8002216;Escola Calderón de la Barca;c. Orduña, s/n;932124429;a8002216@xtec.cat;Igualada;;170160
8002277;Escola Emili Juncadella;c. Juan de Garay, 12;934084651;a8002277@xtec.cat;Jorba;;170182
8002290;Escola Ciutat Comtal;c. Pujalt, s/n;933518304;a8002290@xtec.cat;La Llacuna;;170195
8002320;Escola El Turó;c. de Peñalara, 19-55;933592942;a8002320@xtec.cat;La Llagosta;;170209
8002344;Escola Timbaler del Bruc;c. Arnau Oms, 4;934295384;a8002344@xtec.cat;Llinars del Vallès;;170216
8002368;Escola L'Arc de Sant Martí;c. Almacelles, 1-11;933522951;a8002368@xtec.cat;Lliçà de Vall;;170221
8002393;Escola Baró de Viver;c. Tucuman, 1;933141776;a8002393@xtec.cat;Lluçà;;170237
8002411;Escola Elisenda de Montcada;c. Vallcivera, s/n;933455613;a8002411@xtec.cat;Malgrat de Mar;;170255
8002459;Escola Marta Mata;c. Casals i Cuberó, s/n;933592941;a8002459@xtec.cat;Manlleu;;170268
8002484;Escola Tibidabo;c. Joaquim Valls, 10(Barriada Roquetes);933541302;a8002484@xtec.cat;Manresa;;170274
8002526;Escola Víctor Català;c. Font d'en Canyelles, 35;933594745;a8002526@xtec.cat;Martorell;;170280
8002538;Escola Molí de Finestrelles;c. Guardiola i Feliu, 7-9;933590946;a8002538@xtec.cat;Martorelles;;170293
8002551;Escola La Mar Bella;pl. Sant Bernat Calbó, 2;933456816;a8002551@xtec.cat;Les Masies de Voltregà;;170307
8002563;Escola La Pau;c. Extremadura, 15;932252838;a8002563@xtec.cat;El Masnou;;170314
8002575;Escola Concepción Arenal;c. Cristobal de Moura, 240;933136239;a8002575@xtec.cat;Masquefa;;170329
8002587;Escola Eduard Marquina;c. Jaume Huguet, 22;933052151;a8002587@xtec.cat;Matadepera;;170335
8002599;Escola Rambleta del Clot;c. Aragó, 620;933053001;a8002599@xtec.cat;Mataró;;170340
8002617;Escola Les Acàcies;c. Pujadas, 252-270;932454243;a8002617@xtec.cat;Mediona;;170353
8002629;Escola Els Porxos;pl. Eduard Torroja, 12-20;933070033;a8002629@xtec.cat;Molins de Rei;;170366
8002630;Escola Poblenou;c. Perú, 139;933071232;a8002630@xtec.cat;Mollet del Vallès;;170372
8002642;Escola Prim;c. Bernat Metge, 20-26;933072613;a8002642@xtec.cat;Montgat;;170388
8002654;CEE Concha Espina;c. Prim, 121-123;933142420;a8002654@xtec.cat;Monistrol de Montserrat;;170391
8002666;Escola Duran i Bas;c. Vallespir, 198;933144919;a8002666@xtec.cat;Monistrol de Calders;;170405
8002681;Escola Font d'en Fargas;pg. Font d'En Fargas, 65;934908159;a8002681@xtec.cat;Montesquiu;;170412
8002721;Escola Miralletes;c. Indústria, 255;933576148;a8002721@xtec.cat;Montmajor;;170427
8002733;Escola El Carmel;c. Llobregós, 154;934563281;a8002733@xtec.cat;Figaró-Montmany;;170433
8002745;Escola Àgora;c. Marne, 2;934294698;a8002745@xtec.cat;Montmeló;;170448
8002770;Escola Mas Casanovas;c. Mas Casanovas, 55;933596280;a8002770@xtec.cat;Montornès del Vallès;;170464
8002800;Escola Bac de Roda;c. Fluvià, 253;934364910;a8002800@xtec.cat;Montseny;;170470
8002873;Escola Mestre Morera;prolongació de Perafita, s/n;933071431;a8002873@xtec.cat;Moià;;170486
8002897;CEE Sant Joan de la Creu;av. Rasos de  Peguera, 234;933506600;a8002897@xtec.cat;Navarcles;;170499
8002903;Escola Brasil;Gran Via de les Corts Catalanes 1108;933509148;a8002903@xtec.cat;Navàs;;170502
8002915;Escola Joaquim Ruyra;c. Llull, 377;933086995;a8002915@xtec.cat;Olvan;;170519
8002927;Escola Enric Granados;pg. Zona Franca, 96-104;933071458;a8002927@xtec.cat;Olèrdola;;170524
8002952;Escola Ramon Casas;c. del Platí, 6;933326247;a8002952@xtec.cat;Olesa de Bonesvalls;;170545
8002976;Escola Pare Poveda;av. Vallcarca, 220;933315284;a8002976@xtec.cat;Olesa de Montserrat;;170558
8002988;Escola Cascavell;c. Argentina, s/n;932123375;a8002988@xtec.cat;Olost;;170561
8002991;Sagrada Família;rbla. Caçador, 6-12;933819400;a8002991@xtec.cat;Oristà;;170577
8003014;Sant Felip Neri;c. Avinyó, 20;934270125;a8003014@xtec.cat;Òrrius;;170583
8003041;Maristes Anna Ravell;pl. de Sant Felip Neri, 6;933188716;a8003041@xtec.cat;Pacs del Penedès;;170600
8003294;Escola De Bosc de Montjuïc;c. Blasco de Garay, 52;933011296;a8003294@xtec.cat;Palafolls;;170622
8003361;Salesià de Sant Josep;av. Miramar, 7-9;934425027;17006642;Palau-solità i Plegamans;;170643
8003491;Maria Auxiliadora;c. Rocafort, 42;934414224;a8003491@xtec.cat;Pallejà;;170656
8003543;Scuola dell'Infanzia Italiana parif. M. Montessori;c. Sepúlveda, 67-71/c.Calàbria, 81;934231234;a8003543@xtec.cat;El Papiol;;170669
8003592;Stucom Còrsega - Sant Francesc;c. Setantí, 10-12;933257712;a8003592@xtec.cat;Parets del Vallès;;170675
8003609;JesuÏtes Poble Sec - Sant Pere Claver;c. Tamarit, 80;932030006;a8003609@xtec.cat;Piera;;170681
8003610;Escola Bàrkeno;c. Còrsega, 409;934240230;a8003610@xtec.cat;Pineda de Mar;;170708
8003658;Alfageme;c. Vila Vilà, 14;933218377;a8003658@xtec.cat;El Pla del Penedès;;170715
8003671;Garbiñe;c. Cisell, 15;934418006;a8003671@xtec.cat;La Pobla de Claramunt;;170736
8003695;Lexia;pg. Zona Franca, 198;932230829;a8003695@xtec.cat;La Pobla de Lillet;;170741
8003701;Thau;c. Física, 12-14;933323246;a8003701@xtec.cat;El Prat de Llobregat;;170754
8003725;La Salle Bonanova;c. Gomis, 102-104;933318093;a8003725@xtec.cat;Els Prats de Rei;;170767
8003774;Canigó;ctra. d'Esplugues, 49-53;934170739;a8003774@xtec.cat;Prats de Lluçanès;;170773
8003816;Mary Ward;pg. de la Bonanova, 8;932030154;a8003816@xtec.cat;Premià de Mar;;170792
8003907;Sant Marc de Sarrià;c. Císter, 23;932540954;a8003907@xtec.cat;Puigdàlber;;170806
8003993;Jesuïtes Sarrià - Sant Ignasi;c. Copèrnic, 55-59;932110217;a8003993@xtec.cat;Puig-reig;;170813
8004018;Sil;c. Carrasco i Formiguera, 6-16;932018555;a8004018@xtec.cat;Ripollet;;170834
8004031;Sagrado Corazón;c. Carrasco i Formiguera, 32;932041145;a8004031@xtec.cat;La Roca del Vallès;;170852
8004067;Santa Anna-Eixample;av. Tibidabo, 26-28;936023000;a8004067@xtec.cat;Roda de Ter;;170865
8004080;Stel·la;c. Eduard Conde, 17-23;932126754;a8004080@xtec.cat;Rubí;;170871
8004122;Sant Gregori;c. Bailèn, 53-59;932038754;a8004122@xtec.cat;Sabadell;;170887
8004171;Santa Teresa - Ganduxer;c. Esperança, 13;932654237;a8004171@xtec.cat;Terrassa;;170890
8004183;St. Peter's School;c. Carles Riba, 11-15;934173485;a8004183@xtec.cat;Sallent;;170904
8004195;Escola Pia de Sarrià-Calassanç;c. Ganduxer, 85-105;932123108;a8004195@xtec.cat;Santpedor;;170911
8004201;Decroly;c. Eduard Toldrà, 18;932123354;a8004201@xtec.cat;Sant Iscle de Vallalta;;170926
8004225;Nostra Senyora de Lurdes;c. Immaculada, 25-35;932043612;a8004225@xtec.cat;Sant Andreu de la Barca;;170932
8004286;Escola Reina Violant;c. Vendrell, 1;932120908;a8004286@xtec.cat;Sant Antoni de Vilamajor;;170950
8004316;Sant Pau;Via Augusta, 73-75;934175271;a8004316@xtec.cat;Sant Bartomeu del Grau;;170963
8004328;Istituto Italiano Statale c.sc.el.e.sec. I e II gr;c. Trilla, 18;932377475;a8004328@xtec.cat;Sant Boi de Llobregat;;170979
8004389;Nausica;av. Pearson, 39-45;932189752;a8004389@xtec.cat;Sant Boi de Lluçanès;;170985
8004390;Betània-Patmos;ptge. Méndez Vigo, 5-8;932030500;a8004390@xtec.cat;Sant Celoni;;171002
8004432;Paideia;c. Muntaner, 309-313;934874665;a8004432@xtec.cat;Sant Climent de Llobregat;;171019
8004471;Abat Oliba-Loreto;av. Mare de Déu de Lorda, 2-16;932004340;a8004471@xtec.cat;Sant Cugat del Vallès;;171024
8004511;Jesuïtes Sant Gervasi - Infant Jesús;c. Montnegre, 36-42;932521900;a8004511@xtec.cat;Sant Cugat Sesgarrigues;;171030
8004523;Lys;av. Pearson, 22-26;932051239;a8004523@xtec.cat;Sant Esteve de Palautordera;;171058
8004559;Reial Monestir de Santa Isabel;c. Avenir, 19;932040816;a8004559@xtec.cat;Sant Esteve Sesrovires;;171061
8004626;Sagrat Cor-Sarrià;c. Puig-reig, 9;933622058;a8004626@xtec.cat;Sant Fost de Campsentelles;;171077
8004641;Jesús i Maria;c. Cardenal Setmenat, 1-5;934175079;a8004641@xtec.cat;Sant Feliu de Codines;;171096
8004705;Santa Dorotea;c. Sagrat Cor, 25;932032788;a8004705@xtec.cat;Sant Feliu de Llobregat;;171100
8004717;Salesians Sant Àngel;pg. de Sant Gervasi, 15;932030200;a8004717@xtec.cat;Sant Feliu Sasserra;;171117
8004742;Casa del Roure;pg. de Sant Joan Bosco, 24;934171200;a8004742@xtec.cat;Sant Fruitós de Bages;;171122
8004778;Peter Pan;c. Rafael Batlle, 7;932032892;a8004778@xtec.cat;Vilassar de Dalt;;171143
8004781;Madres Concepcionistas de la Enseñanza;c. Sant Pere  Claver, 12-18;932039400;a8004781@xtec.cat;Sant Joan Despí;;171156
8004808;Sadako;c. Immaculada, 4;932524020;a8004808@xtec.cat;Sant Joan de Vilatorrada;;171169
8004869;La Salle Comtal;c. de la Torre, 19;934180195;a8004869@xtec.cat;Vilassar de Mar;;171175
8004900;Mare del Diví Pastor;av. Vallvidrera, 68;932187971;a8004900@xtec.cat;Sant Julià de Vilatorta;;171181
8004912;Sant Francesc Xavier;c. Collserola, 42;932038800;a8004912@xtec.cat;Sant Just Desvern;;171194
8005072;Jesuïtes Casp - Sagrat Cor de Jesús;c. Amadeu Vives, 6;934189428;a8005072@xtec.cat;Sant Llorenç d'Hortons;;171208
8005102;Pérez Iborra;c. Bailèn, 38;932682033;a8005102@xtec.cat;Sant Llorenç Savall;;171215
8005114;Escola Pia de Nostra Senyora;c. Bòbila, 26-28;932654291;a8005114@xtec.cat;Sant Martí de Tous;;171236
8005151;Sagrat Cor-Diputació;c. Casp, 25;934245791;a8005151@xtec.cat;Sant Martí Sarroca;;171241
8005199;Collège Ferdinand de Lesseps;c. Consell de Cent, 321-323;933183704;a8005199@xtec.cat;Sant Martí Sesgueioles;;171254
8005205;Jesuïtes Gràcia - Kostka;c. Diputació, 275-277;934880057;a8005205@xtec.cat;Sant Pere de Ribes;;171267
8005242;Escolàpies Llúria-Barcelona;c. Diputació, 326;934881166;a8005242@xtec.cat;Sant Pere de Riudebitlles;;171289
8005266;Santa Claus;Gran Via de les Corts Catalanes, 707;932656361;a8005266@xtec.cat;Sant Pere de Vilamajor;;171292
8005357;Lleó XIII;c. Antequera, 2-4;932321612;a8005357@xtec.cat;Sant Pol de Mar;;171306
8005370;Dominiques Barcelona;c. Roger de Llúria, 64;932103605;a8005370@xtec.cat;Sant Quirze de Besora;;171328
8005382;San Nicolás;c. Pau Claris, 131;934882166;a8005382@xtec.cat;Sant Sadurní d'Anoia;;171334
8005394;Maristes La Immaculada;c. Lleó XIII, 12;932159900;a8005394@xtec.cat;Santa Coloma de Gramenet;;171349
8005400;Vedruna Àngels Barcelona;c. Lleó XIII, 16-18-20;934171847;a8005400@xtec.cat;Santa Eugènia de Berga;;171352
8005412;Escola Pia Sant Antoni;c. Mallorca, 349;934175001;a8005412@xtec.cat;Santa Eulàlia de Riuprimer;;171365
8005436;IPSE;c. Provença, 283;932073165;a8005436@xtec.cat;Santa Eulàlia de Ronçana;;171371
8005473;Sagrat Cor-Esclaves;c. València, 370;932154953;a8005473@xtec.cat;Santa Fe del Penedès;;171387
8005564;Mare de Déu del Roser;pl. dels Àngels, 3;934582904;a8005564@xtec.cat;Santa Margarida de Montbui;;171390
8005618;Sant Francesc d'Assís;rda. Sant Pau, 72;933186298;a8005618@xtec.cat;Santa Margarida i els Monjos;;171404
8005746;FEP Sant Josep Oriol;c. Casanova, 175;934410605;a8005746@xtec.cat;Barberà del Vallès;;171426
8005761;Proa;rbla. de Catalunya, 83;933215099;a8005761@xtec.cat;L'Esquirol;;171432
8005771;Josep Tous;c. Consell de Cent, 214;932152522;a8005771@xtec.cat;Santa Maria de Martorelles;;171447
8005801;FEP Sant Medir;pl. Universitat, 2;934531080;a8005801@xtec.cat;Santa Maria d'Oló;;171450
8005965;Nostra Senyora del Carme;c. Villarroel, 85;934545954;a8005965@xtec.cat;Santa Maria de Palautordera;;171463
8006052;Lloret;c. Almeria, 57;934536268;a8006052@xtec.cat;Santa Perpètua de Mogoda;;171479
8006118;Maristes Sants - les Corts;c. Begur, 10-20;934219529;a8006118@xtec.cat;Santa Susanna;;171485
8006143;Inglés;c. Constitució, 15;934224640;a8006143@xtec.cat;Sant Vicenç de Castellet;;171498
8006209;Virolai;ptge. Elena Girol, 10;934217150;a8006209@xtec.cat;Sant Vicenç dels Horts;;171501
8006465;Vedruna Gràcia Barcelona;c. Sants, 99;933396277;a8006465@xtec.cat;Sant Vicenç de Torelló;;171518
8006477;Acis-Artur Martorell;c. Sant Crist, 60-62;933329943;a8006477@xtec.cat;Cerdanyola del Vallès;;171523
8006490;Sant Josep;c. Vallespir, 160;934210711;a8006490@xtec.cat;Badia del Vallès;;171539
8006532;Sant Josep-Teresianes;c. Montornés, 37;934908625;a8006532@xtec.cat;Sentmenat;;171544
8006702;La Salle Gràcia;c. Ceuta, s/n;932138864;a8006702@xtec.cat;Cercs;;171557
8006751;Reina Elisenda;c. Gran de Gràcia, 228-240;932846343;a8006751@xtec.cat;Seva;;171576
8006908;Escola Patronat Domènech;pl. Can Baró, 1-3;932188269;a8006908@xtec.cat;Sitges;;171582
8006945;Escola Pia Luz Casanova;c. Montseny, 31-39;932842418;a8006945@xtec.cat;Subirats;;171595
8006970;FEDAC-Amilcar;c. Nàpols, 359/Trav Gracia, 256-262;932372019;a8006970@xtec.cat;Súria;;171609
8006994;Sant Lluís;pl. del Nord, 14;932075711;a8006994@xtec.cat;Taradell;;171616
8007032;Prínceps 23 d'Abril;c. Olot, 18;932922118;a8007032@xtec.cat;Teià;;171621
8007101;La Salle Congrés;c. Sant Pere Màrtir, 1;932844080;a8007101@xtec.cat;Tiana;;171637
8007202;Arrels;c. Almansa, 52-54;932370035;a8007202@xtec.cat;Tona;;171642
8007445;Escolàpies Sant Martí - Barcelona;c. Amílcar, 10;933596181;a8007445@xtec.cat;Tordera;;171655
8007469;Sant Ferran;c. Arítjols, 12-14;933571554;a8007469@xtec.cat;Torelló;;171668
8007482;Mare de Déu de Núria;c. Arquímedes, 60-68;933544387;a8007482@xtec.cat;La Torre de Claramunt;;171674
8007494;San Rafael;c. Artesania, 38;933458895;a8007494@xtec.cat;Torrelavit;;171680
8007524;Joan Roca 1953;c. Cardenal Tedeschini, 50;933537591;a8007524@xtec.cat;Torrelles de Foix;;171693
8007597;Santa Maria dels Apòstols;c. Cardenal Tedeschini, 70;932430133;a8007597@xtec.cat;Ullastrell;;171707
8007603;FEP L'Esperança;av. Meridiana, 392-406;933524454;a8007603@xtec.cat;Vacarisses;;171714
8007721;FEDAC-Sant Andreu;c. Joan de Peguera, 42;933113111;a8007721@xtec.cat;Vallbona d'Anoia;;171729
8007858;FEP Mare Alfonsa Cavín;c. Joan Riera, 46;934569303;a8007858@xtec.cat;Vallcebre;;171735
8007871;Cor de Maria-Sabastida;c. Mallorca, 598;933548991;a8007871@xtec.cat;Vallirana;;171740
8007913;Mare de Déu dels Àngels;c. Menorca, 80-82;932456629;a8007913@xtec.cat;Vilada;;171753
8008012;FEP Bon Pastor;av. Meridiana, 237-243-253;933139292;a8008012@xtec.cat;Viladecavalls;;171766
8008036;Escola Turó Blau;c. Pere IV, 562/rbla. Prim, 146-152;933403408;a8008036@xtec.cat;Viladecans;;171772
8008191;Jesús, Maria i Josep;c. Quito, 25-37;933149011;a8008191@xtec.cat;Vilanova del Camí;;171788
8008267;Valldaura;c. Ramon Batlle, 39-45;933457745;a8008267@xtec.cat;Vilanova de Sau;;171805
8008279;Providencia del Corazón de Jesús;av. Rasos de Peguera, 57 bis;933468001;a8008279@xtec.cat;Vilobí del Penedès;;171812
8008309;Mare de Déu de la Soledat;c. Sabastida, 12;933594996;a8008309@xtec.cat;Vilafranca del Penedès;;171827
8008361;Amor de Dios;c. Sagrera, 80-82;934073810;a8008361@xtec.cat;Vilalba Sasserra;;171833
8008371;Ramon Llull;c. Sant Adrià, 134;933523909;a8008371@xtec.cat;Vilanova i la Geltrú;;171848
8008401;Ginesta;c. Gran de San Andreu,2;933140451;a8008401@xtec.cat;Sant Vicenç de Montalt;;171851
8008449;Grey;c. Sant Sebastià, 55;933468602;a8008449@xtec.cat;Sant Quirze del Vallès;;171864
8008462;Mireia;c. Santa Engràcia, 110;933112161;a8008462@xtec.cat;Collbató;;171870
8008474;Sant Gabriel;c. Scala Dei, 1-13;933591395;a8008474@xtec.cat;Perafita;;171886
8008504;Verns;c. Segre, 35;934275121;a8008504@xtec.cat;Premià de Dalt;;171899
8008516;Miró;c. Teide, s/n;933110311;a8008516@xtec.cat;L'Estany;;171903
8008531;Voramar;c. Biscaia, 439;934293921;a8008531@xtec.cat;Sant Mateu de Bages;;171910
8008656;San Francisco;c. Circumval·lació, s/n;933518214;a8008656@xtec.cat;Santa Maria de Besora;;171925
8008681;Sagrat Cor Besòs;pg. Valldaura, 208;935758893;a8008681@xtec.cat;Vilanova del Vallès;;171931
8008701;Roig Tesalia;c. Ausiàs March, 62-64;933504040;a8008701@xtec.cat;Rupit i Pruit;;171946
8008747;Escola Casas;Gran Via Corts Catalanes, 1192-1196;932454998;a8008747@xtec.cat;Santa Coloma de Cervelló;;171959
8008784;FEP Santíssima Trinitat;c. Cantàbria, 31;933149560;a8008784@xtec.cat;Sant Pere de Torelló;;171962
8008796;Grèvol;c. Cristóbal de Moura, 153-157;933135051;a8008796@xtec.cat;Castellterçol;;171978
8008826;Jesuïtes Clot - El Clot;c. Ramon Turró, 130-138;933072506;a8008826@xtec.cat;Sant Andreu de Llavaneres;;171984
8008851;Didac;c. Treball, 213;932251324;a8008851@xtec.cat;Sant Cebrià de Vallalta;;171997
